nmot_w,mshfm_w,rl_w,rlsol_w,pvdkds_w,plsol_w,lamsoni_w,lamsbg_w,tikatm_w
2909.25,20.5,36.6797,37.3594,1073.59,1010.82,0.993654,1.0,635.057
2905.75,20.8889,37.0313,38.3438,1073.59,1010.82,0.988527,1.0,635.057
2915.75,20.9445,37.4063,39.3281,1076.64,1010.82,0.994875,1.0,635.057
2913.0,21.5278,37.875,40.4766,1079.65,1010.82,0.997316,1.0,634.862
2910.0,21.8889,38.4141,43.3125,1079.65,1010.78,0.998537,1.0,634.862
2911.5,25.5556,41.6719,44.3906,1073.63,1010.78,1.0,1.0,634.862
2911.0,27.4722,44.8125,46.2656,1079.65,1010.78,1.00342,1.0,634.862
2907.5,27.6945,46.8516,46.2188,1085.74,1010.78,0.989992,1.0,634.627
2909.5,27.8056,47.4141,46.1719,1094.84,1010.78,0.981203,1.0,634.627
2914.75,27.9445,48.1406,46.1953,1106.99,1010.78,0.954835,1.0,634.627
2916.75,27.6111,48.3281,47.3203,1116.13,1010.78,0.967287,1.0,634.627
2922.25,27.1945,48.4219,47.2969,1125.23,1010.74,0.992433,1.0,634.354
2922.5,27.5,48.4453,47.3203,1131.33,1010.74,1.01001,1.0,634.354
2928.5,27.2222,48.5625,47.3203,1134.34,1010.74,1.01489,1.0,634.354
2925.75,27.1111,48.7031,47.3438,1140.43,1010.74,1.0166,1.0,634.354
2927.75,27.1389,48.7031,47.3672,1143.48,1010.74,1.01148,1.0,634.08
2931.5,26.3889,48.3281,47.3672,1146.48,1010.74,1.01001,1.0,634.08
2934.25,26.6389,48.1406,47.3906,1149.53,1010.7,0.994875,1.0,634.08
2931.5,26.2222,47.9063,47.4141,1152.58,1010.7,1.00513,1.0,633.846
2933.75,26.4167,48.1406,47.4141,1149.57,1010.7,1.00659,1.0,633.846
2933.5,26.5834,48.1875,48.4688,1152.58,1010.7,1.01148,1.0,633.846
2936.25,26.6389,48.1172,48.5156,1155.63,1010.7,1.01001,1.0,633.846
2941.75,26.2222,48.0703,49.5703,1155.63,1010.7,1.01489,1.0,633.612
2942.5,26.6945,48.1875,49.5703,1155.63,1010.7,1.02002,1.0,633.612
2945.25,27.4167,48.7266,49.5469,1155.63,1010.7,1.02002,1.0,633.612
2946.0,27.5834,49.2188,49.5703,1158.67,1010.66,1.01831,1.0,633.612
2948.25,27.5556,49.6875,49.5,1158.67,1010.66,1.0083,1.0,633.416
2948.25,27.7222,50.2031,49.5469,1158.67,1010.66,0.996095,1.0,633.416
2951.75,28.1111,50.1094,49.5,1164.73,1010.66,0.996095,1.0,633.416
2952.75,27.6111,49.875,49.5,1167.77,1010.66,0.996095,1.0,633.416
2954.75,27.8334,50.1094,49.5234,1167.77,1010.66,0.994875,1.0,633.26
2961.5,27.6945,50.0391,49.5,1170.82,1010.66,0.994875,1.0,633.26
2961.5,27.6945,50.0391,49.5234,1170.86,1010.63,0.994875,1.0,633.26
2961.5,27.5556,50.0859,53.0859,1170.86,1010.63,0.996095,1.0,633.26
2958.75,29.2222,50.5078,104.273,1167.81,1483.87,0.993654,1.0,633.123
2982.75,43.4445,58.6641,157.664,1143.52,2105.86,0.992433,1.0,633.123
3115.25,57.75,81.8203,158.977,1158.67,2122.23,0.924562,1.0,633.123
3003.5,59.4723,87.1641,158.531,1207.27,2098.83,0.868654,1.0,633.123
2942.5,61.2778,91.8984,158.555,1274.1,2109.8,0.840089,1.0,633.123
3059.75,64.6667,95.1563,158.602,1331.84,2117.85,0.881837,1.0,633.123
3060.0,67.9445,99.7734,159.305,1386.52,2120.04,0.909181,1.0,633.123
3010.0,72.3334,104.813,159.609,1450.31,2118.91,0.933107,1.0,633.631
3072.25,76.2223,110.859,159.867,1514.14,2141.6,0.935304,1.0,633.631
3079.25,78.4723,115.125,160.641,1583.98,2158.71,0.937746,1.0,633.631
3079.0,84.0278,122.32,160.758,1696.41,2165.78,0.957277,1.0,634.686
3129.0,87.1667,127.969,160.969,1754.14,2165.12,0.966066,1.0,634.686
3136.0,92.0001,133.547,163.547,1820.98,2195.78,0.972414,1.0,634.686
3135.0,94.5834,138.563,164.906,1884.77,2215.2,0.986085,1.0,634.686
3158.5,97.139,143.086,167.625,1978.95,2251.6,0.992433,1.0,636.268
3184.0,102.917,148.992,169.078,2021.52,2265.63,1.00659,1.0,636.268
3192.25,103.583,153.68,167.977,2082.27,2247.03,1.01319,1.0,636.268
3219.25,108.278,158.695,165.469,2143.05,2206.05,1.02002,1.0,636.268
3249.75,108.0,161.93,168.258,2200.74,2241.37,1.02783,1.0,638.494
3269.75,109.222,165.82,169.406,2234.18,2247.81,1.02588,1.0,638.494
3295.75,110.722,168.07,169.336,2252.42,2235.27,1.01319,1.0,638.494
3296.25,110.611,169.594,169.336,2301.02,2229.8,1.00195,1.0,638.494
3326.75,113.195,171.773,171.891,2304.1,2263.01,1.00659,1.0,641.385
3369.75,109.945,172.711,170.578,2337.46,2237.85,1.01001,1.0,641.385
3365.25,113.472,174.398,171.703,2328.4,2240.08,1.00659,1.0,641.385
3378.0,114.195,174.234,173.063,2325.35,2259.26,1.00513,1.0,641.385
3423.25,108.778,174.492,171.727,2316.25,2237.7,1.00195,1.0,644.959
3435.25,110.972,172.781,169.008,2301.05,2189.88,1.0083,0.967531,644.959
3445.75,105.028,171.305,170.32,2264.61,2204.61,0.994875,0.967531,644.959
3481.5,109.722,170.648,171.563,2234.22,2202.38,0.966066,0.963136,644.959
3501.75,104.75,168.422,174.211,2191.68,2231.21,0.957277,0.963136,649.236
3503.75,105.306,167.484,171.398,2158.24,2196.45,0.953615,0.959474,649.236
3547.0,105.111,167.086,171.398,2127.89,2191.99,0.948732,0.959474,649.236
3562.5,106.945,166.641,171.563,2149.1,2196.45,0.930665,0.956789,649.236
3565.75,107.75,166.922,171.398,2088.36,2194.96,0.922121,0.956789,654.139
3593.75,108.611,166.453,171.656,2097.46,2200.55,0.915529,0.954347,654.139
3630.25,113.083,165.938,171.797,2115.7,2205.0,0.922121,0.954347,654.139
3623.0,117.278,166.453,170.297,2149.1,2186.6,0.942628,0.952638,659.568
3641.75,119.806,166.359,171.914,2152.15,2208.01,0.952394,0.952638,659.568
3681.5,121.028,167.016,173.391,2179.49,2231.41,0.952394,0.939455,659.568
3687.75,119.639,167.25,176.086,2243.28,2265.55,0.956056,0.939455,659.568
3720.75,121.583,168.867,176.133,2240.27,2260.27,0.967287,0.939455,665.389
3723.5,125.889,170.766,176.18,2267.58,2266.88,0.958498,0.8938,665.389
3755.0,125.945,171.867,176.109,2276.76,2265.43,0.954835,0.8938,665.389
3782.75,125.056,172.898,173.602,2301.05,2236.09,0.925783,0.8938,665.389
3793.5,126.695,174.773,173.602,2325.31,2239.41,0.919923,0.8938,671.385
3830.25,126.528,175.641,173.578,2337.46,2241.05,0.895509,0.872072,671.385
3844.75,123.278,174.023,172.336,2322.3,2231.76,0.874757,0.872072,671.385
3852.0,122.333,171.422,177.727,2316.21,2300.12,0.859376,0.872072,671.385
3893.0,123.5,170.508,179.18,2267.62,2320.16,0.854249,0.872072,677.361
3896.75,121.361,168.563,177.633,2243.28,2303.28,0.846193,0.839601,677.361
3907.5,123.445,167.859,177.68,2222.07,2306.05,0.838136,0.839601,677.361
3940.75,124.722,166.945,179.086,2240.23,2325.51,0.820558,0.839601,677.361
3966.5,123.889,167.391,176.391,2228.13,2294.34,0.813478,0.839601,683.143
3968.25,125.806,166.195,179.016,2249.38,2329.92,0.815187,0.826417,683.143
3993.5,125.528,164.695,180.539,2258.48,2349.53,0.816896,0.826417,683.143
4030.0,131.556,170.133,175.102,2282.77,2284.02,0.816896,0.826417,688.67
4042.25,131.695,169.969,176.484,2276.76,2299.41,0.820558,0.805177,688.67
4052.75,133.722,173.18,176.297,2319.26,2290.23,0.825929,0.805177,688.67
4067.75,133.695,173.086,176.555,2316.25,2291.84,0.80298,0.805177,688.67
4106.5,134.75,174.258,175.148,2331.45,2270.94,0.805421,0.805177,693.904
4120.0,134.167,175.617,176.461,2346.64,2283.32,0.806398,0.804689,693.904
4140.75,133.5,176.297,176.484,2355.7,2281.99,0.786866,0.804689,693.904
4156.25,134.333,174.211,176.414,2358.75,2278.13,0.785157,0.804689,693.904
4174.75,136.333,172.359,176.484,2343.55,2277.85,0.794923,0.804689,698.807
